year,month_number,produccion,importaciones,exportaciones_totales,consumo_nacional_aparente,inventario_inicial,inventario_final,oferta_total,demanda_total,net_exports,supply_demand_ratio,demand_pressure,excess_supply,inventory_to_consumption,inventory_months,production_share
2016,12,733419.0,1223,76168,398164,399002,635186,1133644,498457,74945.0,2.274306509889519,0.4184135407588273,659312.0,1.5952873690238194,19.14344842828583,0.6469570694150898
2017,1,1074829.0,2443,133882,413083,635186,1145217,1712458,567240,131439.0,3.0189302587969817,0.319403453982521,1165493.0,2.7723653599881866,33.268384319858235,0.6276527657904603
2017,2,1042258.0,2217,118413,350372,1145217,1705951,2189692,483741,116196.0,4.526579305868223,0.21408718669109628,1720907.0,4.868970694005228,58.427648328062745,0.47598383699625335
2017,3,1205963.0,3258,77209,485565,1705951,2324546,2915172,590626,73951.0,4.935732595585024,0.19305001557369514,2352398.0,4.787301391162872,57.447616693954465,0.41368502441708416
2017,4,1043937.0,1989,205534,360778,2324546,2778433,3370473,592040,203545.0,5.69298189311533,0.16802157086603894,2804160.0,7.701226238850484,92.41471486620581,0.30973011799827505
2017,5,576435.0,2692,195454,451990,2778433,2677096,3357559,680464,192762.0,4.934219885254767,0.1928316992101407,2710116.0,5.922909798889356,71.07491758667227,0.17168276119645254
2017,6,98879.0,3361,54201,352973,2677096,2344706,2779336,434630,50840.0,6.394717345788372,0.14650045910246187,2372162.0,6.6427347134200065,79.71281656104007,0.0355764830160873
2017,7,2947.0,6789,66777,329853,2344706,1926980,2354442,427462,59988.0,5.507956262778913,0.16846029759917636,1957812.0,5.841935650122934,70.1032278014752,0.0012516766180691646
2017,8,0.0,10415,44566,438328,1926980,1404213,1937396,533183,34151.0,3.6336417327634227,0.24924912059750334,1454501.0,3.20356673541275,38.442800824953004,0.0
2017,9,0.0,5669,143122,232246,1404213,1002342,1409883,407540,137453.0,3.4594960003925994,0.26624072085465306,1034514.0,4.315863351790774,51.79036022148929,0.0
2017,10,0.0,30354,9481,340438,1002342,659934,1032696,372762,-20873.0,2.7703896856439227,0.33884027826194735,682777.0,1.9384851279821878,23.261821535786254,0.0
2017,11,162960.0,5197,19070,313007,659934,472671,828091,355419,13873.0,2.3299007650125625,0.40101510582774114,496014.0,1.5100972182730739,18.121166619276885,0.19678996632012666
2017,12,843563.0,3216,46596,365641,472671,880301,1319450,439149,43380.0,3.0045610942982908,0.31243093713289627,907213.0,2.407555498426052,28.890665981112623,0.639329265982038
2018,1,1057304.0,44461,88040,404503,880301,1477527,1982066,504540,43579.0,3.9284615689538986,0.248499797685849,1489523.0,3.65269726058892,43.83236712706704,0.533435314464806
2018,2,1020478.0,10100,153176,352051,1477527,1986912,2508105,521193,143076.0,4.812238460608642,0.2014377388506462,2002878.0,5.643818651274957,67.72582381529949,0.4068721205850632
2018,3,1193629.0,17039,254534,327903,1986912,2587808,3197580,609773,237495.0,5.24388583948453,0.18214931291789416,2615143.0,7.891992448986438,94.70390938783726,0.37329136409409613
2018,4,1001424.0,6935,145791,453467,2587808,2980950,3596167,615217,138856.0,5.845363505884915,0.16663797871455915,2996909.0,6.573686729133542,78.88424074960251,0.2784698263456619
2018,5,628555.0,5625,53858,371063,2980950,3157483,3615129,457646,48233.0,7.899400409923827,0.11753961821566583,3190209.0,8.509290875134411,102.11149050161293,0.17386793113053503
2018,6,99097.0,2523,55283,403835,3157483,2758250,3259103,500853,52760.0,6.507104879076296,0.1408725038760665,2799985.0,6.830141022942539,81.96169227531047,0.030406219134528734
2018,7,2510.0,1646,128986,358334,2758250,2241284,2762406,521122,127340.0,5.300881559404516,0.1764114326424139,2275086.0,6.254734409796447,75.05681291755737,0.0009086282030954175
2018,8,0.0,2952,85560,362293,2241284,1753192,2244236,491044,82608.0,4.570335855849985,0.19955699846183736,1796383.0,4.839155048538061,58.06986058245674,0.0
2018,9,0.0,2295,87500,175713,1753192,1394533,1755487,360954,85205.0,4.863464596596796,0.14993731084308798,1492274.0,7.936424738067189,95.23709685680628,0.0
2018,10,0.0,1409,50550,309609,1394533,1022230,1395942,373712,49141.0,3.7353416534657704,0.25800427238380963,1035783.0,3.3016805067036166,39.6201660804434,0.0
2018,11,117602.0,668,116230,401214,1022230,604936,1140500,535563,115562.0,2.129534713936549,0.4536992547128452,623056.0,1.5077639364528657,18.093167237434386,0.10311442349846558
2018,12,796048.0,1274,150117,348846,604936,880225,1402258,522034,148843.0,2.6861430481539514,0.35582824273421865,903295.0,2.52324808081503,30.278976969780363,0.5676901112348798
2019,1,1091304.0,592,37173,450563,880225,1465489,1972120,506631,36581.0,3.892616124950901,0.2473154537677962,1484385.0,3.2525728921371706,39.03087470564605,0.553365920937874
2019,2,1116212.0,1077,238568,265477,1465489,2049199,2582778,533579,237491.0,4.840479104312576,0.1951561458243798,2078733.0,7.718932336887941,92.6271880426553,0.43217496819316253
2019,3,1211563.0,6513,206880,359405,2049199,2668364,3267274,598910,200367.0,5.455367250505084,0.17332027454071053,2700990.0,7.424393094141706,89.09271712970047,0.3708176908333981
2019,4,1144102.0,1198,290236,329395,2668364,3165974,3813664,647690,289038.0,5.88810078895768,0.16247655797679084,3194033.0,9.611481655762837,115.33777986915406,0.3000007342020692
2019,5,830178.0,1492,266321,441896,3165974,3243932,3997645,753712,264829.0,5.303942354639438,0.17715859641328743,3289427.0,7.340939949671416,88.09127939605699,0.20766676380719148
2019,6,118911.0,940,180393,286383,3243932,2866789,3363783,496995,179453.0,6.768243141279087,0.13876519383087435,2897007.0,10.010332317211565,120.12398780653879,0.0353503778335285
2019,7,0.0,2065,238207,322702,2866789,2263007,2868853,605847,236142.0,4.735276398166534,0.19551674640814765,2307945.0,7.012683528456595,84.15220234147914,0.0
2019,8,0.0,2515,181869,326611,2263007,1721441,2265521,544080,179354.0,4.163948316424055,0.22444275535616073,1757042.0,5.270615502845893,63.24738603415072,0.0
2019,9,0.0,1929,228157,249817,1721441,1168741,1723370,554629,226228.0,3.107248268662475,0.27734845100007544,1245396.0,4.678388580440883,56.140662965290595,0.0
2019,10,0.0,2913,24103,399078,1168741,720087,1171654,451567,21190.0,2.594640440953391,0.36118256754980566,748473.0,1.8043765880354217,21.65251905642506,0.0
2019,11,73215.0,5351,48687,318304,720087,413143,798653,385510,43336.0,2.0716790744727764,0.45951245409458175,431662.0,1.2979510153815221,15.575412184578266,0.09167310458985317
2019,12,591251.0,3931,13648,328081,413143,643320,1008325,365005,9717.0,2.7624964041588473,0.33890759427763867,666596.0,1.9608572273310554,23.530286727972666,0.5863694741278853
2020,1,915107.0,2147,110141,421063,643320,1004626,1560574,555948,107994.0,2.8070502996683144,0.340390138500321,1029370.0,2.3859279965230855,28.631135958277024,0.5863912893589154
2020,2,965703.0,947,99410,368058,1004626,1476384,1971275,494891,98463.0,3.983250857259477,0.23713980183393904,1503808.0,4.011280830738634,48.1353699688636,0.48988750935308367
2020,3,1142394.0,639,170594,460760,1476384,1957057,2619418,662360,169955.0,3.9546741953016484,0.24102844258856074,1988063.0,4.247454206094279,50.96945047313135,0.4361251239779218
2020,4,947809.0,1011,244363,371102,1957057,2261280,2905878,644598,243352.0,4.508046875727198,0.2118000865143294,2290412.0,6.093419059988898,73.12102871986677,0.3261695776629301
2020,5,510659.0,1739,135345,299439,2261280,2313583,2773678,460095,133606.0,6.028489768417392,0.15675359576706452,2338894.0,7.726391685785753,92.71670022942904,0.18410897011116648
2020,6,122943.0,4437,86258,349073,2313583,1977220,2440963,463742,81821.0,5.263622876513233,0.17834395687275884,2005632.0,5.664202043698596,67.97042452438315,0.05036659711761301
2020,7,9240.0,2789,107666,265856,1977220,1586682,1989249,402567,104877.0,4.9414109949399725,0.187770359567857,1615727.0,5.968200830524795,71.61840996629753,0.004644969031026282
